,title,year,runtime,genre,average rating,total votes,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
16435,"The Old, the Young & the Sea",2013,90,"Action,Adventure,Biography",8.4,102,,,,,,,,,
16436,Beyond: An African Surf Documentary,2017,111,"Adventure,Documentary,Sport",7.6,19,,,,,,,,,
16437,Partisan,2015,94,"Drama,Thriller",5.8,3606,,,,,,,,,
16438,The Geographer Drank His Globe Away,2013,120,"Adventure,Drama,Romance",7.4,3943,,,,,,,,,
16439,Hide and Seek,2013,107,"Action,Horror,Mystery",6.4,1287,,,,,,,,,
16440,The Mimic,2017,100,"Horror,Mystery,Thriller",5.4,795,,,,,,,,,
16441,Brown Bread: The Story of an Adoptive Family,2014,87,"Biography,Documentary,Family",9.2,11,,,,,,,,,
16442,Seduce Me,2013,83,Drama,5.9,118,,,,,,,,,
16443,Love Me,2013,90,"Adventure,Comedy,Drama",6.1,436,,,,,,,,,
16444,Love Me,2013,90,"Adventure,Comedy,Drama",6.1,436,,,,,,,,,
16445,Die Hüter der Tundra,2013,85,"Adventure,Documentary",7.4,9,,,,,,,,,
16446,Suffering Cassandra,2013,84,"Comedy,Drama,Romance",7.3,19,,,,,,,,,
16447,Dream Town,2014,73,"Documentary,Drama,Fantasy",8.2,6,,,,,,,,,
16448,The Farewell Party,2014,95,"Comedy,Drama,Romance",7,1795,,,,,,,,,
16449,The Farewell Party,2014,95,"Comedy,Drama,Romance",7,1795,,,,,,,,,
16450,Brothers of the Black List,2014,74,"Documentary,History,News",8,13,,,,,,,,,
16451,The Last Impresario,2013,92,"Biography,Documentary",6.9,74,,,,,,,,,
16452,Haven,2013,75,Drama,6.6,12,,,,,,,,,
16453,The Benefactor,2015,93,Drama,5.1,4012,,,,,,,,,
16454,"Bergoglio, the Pope Francis",2015,104,"Biography,Drama,History",6,454,,,,,,,,,
16455,Cinema Purgatorio,2014,98,Comedy,8,33,,,,,,,,,
16456,Netavi ik teatri aris?!,2011,55,"Biography,Documentary,Drama",8.9,9,,,,,,,,,
16457,Constructors,2013,67,"Drama,Family",6.3,9,,,,,,,,,
16458,The Owners,2014,100,Drama,6.1,109,,,,,,,,,
16459,The Plague at the Karatas Village,2016,80,"Drama,Fantasy",5.8,42,,,,,,,,,
16460,The Gentle Indifference of the World,2018,100,Drama,6.7,176,,,,,,,,,
16461,Getting to the Nutcracker,2014,98,"Documentary,Family",7.4,32,,,,,,,,,
16462,The Twilight Angel,2014,55,Drama,8.1,17,,,,,,,,,
16463,Savage,2018,83,"Drama,Thriller",5.1,108,,,,,,,,,
16464,The Quantum Indians,2013,52,"Biography,Documentary,History",8.8,37,,,,,,,,,
16465,Adult Rappers,2015,58,"Documentary,Music",7.2,36,,,,,,,,,
16466,Idealisten,2015,114,Thriller,7,1195,,,,,,,,,
16467,Theeb,2014,100,"Adventure,Drama,Thriller",7.2,8921,,,,,,,,,
16468,Kool,2011,130,"Comedy,Drama,Romance",4.5,19,,,,,,,,,
16469,Le chant de la fleur,2013,61,"Documentary,Family,News",7.2,6,,,,,,,,,
16470,The Diary of a Teenage Girl,2015,102,"Comedy,Drama,Romance",6.9,27003,,,,,,,,,
16471,The Unknown Runner,2013,70,"Documentary,Sport",9.2,8,,,,,,,,,
16472,It's Not a Date,2014,93,"Comedy,Drama,Romance",5,296,,,,,,,,,
16473,The Life After,2013,90,Drama,6,72,,,,,,,,,
16474,The Chosen Ones,2015,105,Drama,6.7,1454,,,,,,,,,
16475,Asmodexia,2014,81,Horror,4.7,1083,,,,,,,,,
16476,Huff! It's Too Much,2013,96,Romance,5.7,13,,,,,,,,,
16477,The Green Jacket,2013,104,"Drama,Thriller",6.7,53,,,,,,,,,
16478,The Stone River,2013,88,"Biography,Documentary,Drama",6.5,11,,,,,,,,,
16479,Il risoluto,2017,159,Documentary,5.6,9,,,,,,,,,
16480,Be My Cat: A Film for Anne,2015,87,"Horror,Thriller",6.4,787,,,,,,,,,
16481,Honeymoon,2014,87,"Horror,Mystery,Thriller",5.7,22877,,,,,,,,,
16482,Darker Than Midnight,2014,98,Drama,6.4,234,,,,,,,,,
16483,The Architect,2016,95,"Comedy,Drama",4.8,675,,,,,,,,,
16484,Americano,2016,98,"Action,Adventure,Animation",4.6,193,,,,,,,,,
16485,Sapience,2014,101,Drama,6.6,914,,,,,,,,,
16486,Bitter Harvest,2017,103,"Drama,Romance,War",6.1,3057,,,,,,,,,
16487,Moodar Koodam,2013,145,"Comedy,Drama,Musical",7.7,989,,,,,,,,,
16488,Verónica,2017,81,"Drama,Horror,Mystery",5.8,1045,,,,,,,,,
16489,We Won't Bow Down,2014,95,"Documentary,History",8.5,6,,,,,,,,,
16490,Boy and the World,2013,80,"Adventure,Animation,Family",7.6,5542,,,,,,,,,
16491,Hayride: A Haunted Attraction,2018,83,Comedy,7.9,7,,,,,,,,,
16492,Asier ETA biok,2013,94,"Biography,Documentary,Family",7.6,172,,,,,,,,,
16493,Asier ETA biok,2013,94,"Biography,Documentary,Family",7.6,172,,,,,,,,,
16494,Wir die Wand,2013,90,Documentary,6.7,68,,,,,,,,,
16495,The Road to Livingston,2013,86,"Biography,Documentary,Drama",7.4,11,,,,,,,,,
16496,Revenge of the Alligator Ladies,2013,87,Comedy,6.1,36,,,,,,,,,
16497,The Window,2014,112,"Crime,Mystery,Thriller",4,34,,,,,,,,,
16498,Hellion,2014,99,"Drama,Thriller",6.1,5086,,,,,,,,,
16499,Xenia,2014,134,"Drama,Romance",6.7,3183,,,,,,,,,
16500,Class Enemy,2013,112,Drama,7.6,1931,,,,,,,,,
16501,The Asian Connection,2016,90,"Action,Crime,Drama",3.3,1287,,,,,,,,,
16502,One Piece Podcast Goes to Japan,2014,,Documentary,9.2,18,,,,,,,,,
16503,One Piece Podcast Goes to Japan,2014,,Documentary,9.2,18,,,,,,,,,
16504,El otro Maradona,2013,78,Documentary,6.7,13,,,,,,,,,
16505,El otro Maradona,2013,78,Documentary,6.7,13,,,,,,,,,
16506,Mission NinetyTwo,2015,88,"Action,Adventure,Thriller",3.9,48,,,,,,,,,
16507,Timoteo's Fabulous Ragged Circus,2013,76,"Documentary,Drama,Family",8.1,7,,,,,,,,,
16508,Gorko!,2013,100,Comedy,5.5,2275,,,,,,,,,
16509,Queens & Cowboys: A Straight Year on the Gay Rodeo,2014,92,"Documentary,History,Sport",6.4,154,,,,,,,,,
16510,Bananaland,2016,,Documentary,9.3,6,,,,,,,,,
16511,Insidious: Chapter 3,2015,97,"Horror,Mystery,Thriller",6.1,82930,,,,,,,,,
16512,Upgrade,2018,100,"Action,Sci-Fi,Thriller",7.6,104978,,,,,,,,,
16513,Poule des doods,2012,50,"Documentary,Drama",7.6,5,,,,,,,,,
16514,Giovanni en het waterballet,2014,18,"Documentary,Sport",7.6,18,,,,,,,,,
16515,Water Children,2011,75,"Documentary,Family",7.6,9,,,,,,,,,
16516,Love is Potatoes,2017,90,"Animation,Documentary,History",7.3,108,,,,,,,,,
16517,House of VHS,2016,83,"Fantasy,Horror,Mystery",2.7,118,,,,,,,,,
16518,Infierno o Paraíso,2014,99,"Documentary,Drama",7.9,31,,,,,,,,,
16519,Cloudy Times,2014,92,"Documentary,Drama,Family",6.5,22,,,,,,,,,
16520,Marmato,2014,87,Documentary,7.2,139,,,,,,,,,
16521,Teleios,2017,89,"Drama,Sci-Fi",4.5,1318,,,,,,,,,
16522,Free Range/Ballad on Approving of the World,2013,104,Drama,6.1,343,,,,,,,,,
16523,To Life,2014,104,Drama,6.4,157,,,,,,,,,
16524,Dancing for My Havana,2015,103,"Drama,Music,Musical",6.6,21,,,,,,,,,
16525,The American Nurse,2014,81,"Biography,Documentary,News",8.9,22,,,,,,,,,
16526,Ghost Mountaineer,2015,100,"Adventure,Mystery,Thriller",6.2,742,,,,,,,,,
16527,The Return to Homs,2013,94,"Biography,Documentary,History",7.7,945,,,,,,,,,
16528,Kinder des Kalifats,2017,99,"Documentary,War",7.3,1431,,,,,,,,,
16529,Where Hope Grows,2014,95,"Drama,Family",6.6,2747,,,,,,,,,
16530,Hounds of Love,2016,108,"Crime,Drama,Horror",6.5,8284,,,,,,,,,
16531,Lou! Journal infime,2014,104,Comedy,6.1,400,,,,,,,,,
16532,The Agreement,2014,58,"Documentary,History",7.4,25,,,,,,,,,
16533,Metamorphoses,2014,102,"Drama,Fantasy",5.3,633,,,,,,,,,
16534,Sorry Angel,2018,132,"Drama,Romance",6.8,1707,,,,,,,,,
16535,"If You Don't, I Will",2014,102,Comedy,5.8,411,,,,,,,,,
16536,Relationship Status: It's Complicated,2014,98,"Comedy,Romance",5.5,749,,,,,,,,,
16537,My Prairie Home,2013,76,"Documentary,Music",6.1,61,,,,,,,,,
16538,Michael Shannon Michael Shannon John,2015,80,Documentary,6.3,9,,,,,,,,,
16539,Theri,2016,157,"Action,Drama",7.2,11259,,,,,,,,,
16540,Mersal,2017,172,"Action,Thriller",8,21988,,,,,,,,,
16541,Love at First Fight,2014,98,"Comedy,Romance",6.6,4691,,,,,,,,,
16542,I See You,2017,84,Romance,7.8,701,,,,,,,,,
16543,Slow West,2015,84,"Adventure,Western",6.9,38237,,,,,,,,,
16544,Romeo and Juliet,2013,93,"Animation,Drama,Romance",7.8,12,,,,,,,,,
16545,Children of Internment,2013,90,"Biography,Documentary,History",7.4,13,,,,,,,,,
16546,Kick Ass Girls,2013,97,"Action,Comedy,Crime",4.1,273,,,,,,,,,
16547,Microtopia,2013,52,Documentary,7,100,,,,,,,,,
16548,Lola's Last Letter,2016,82,Drama,8,9,,,,,,,,,
16549,Pull of Gravity,2013,81,"Biography,Crime,Documentary",8.6,5,,,,,,,,,
16550,Visceral: Entre las cuerdas de la locura,2012,69,Horror,4.7,118,,,,,,,,,
16551,Different Town,2014,46,"Documentary,Music",9,38,,,,,,,,,
16552,Cairo in One Breath,2015,79,"Biography,Documentary,History",7,8,,,,,,,,,
16553,Son of God,2014,138,"Biography,Drama,History",5.8,17606,,,,,,,,,
16554,Island of Witches,2014,93,"Action,Adventure,Thriller",6.5,8,,,,,,,,,
16555,Nothing in Return,2015,93,Drama,6.7,2070,,,,,,,,,
16556,Agnes,2013,108,"Drama,Family",7.9,28,,,,,,,,,
16557,Diaghilev and the Ballets Russes,2013,29,"Biography,Documentary,History",7.6,5,,,,,,,,,
16558,Toxic Hot Seat,2013,91,Documentary,7.7,135,,,,,,,,,
16559,Two Raging Grannies,2013,78,Documentary,6.9,161,,,,,,,,,
16560,By Jingo,2015,78,Drama,8.6,5,,,,,,,,,
16561,Roseville,2013,120,"Horror,Mystery,Thriller",6,1082,,,,,,,,,
16562,Paradise for the Damned,2013,85,"Drama,Thriller",5.1,64,,,,,,,,,
16563,Local Kung Fu,2013,,"Action,Comedy",7.4,227,,,,,,,,,
16564,Local Kung Fu 2,2017,125,"Action,Comedy",7.8,37,,,,,,,,,
16565,15 to Life: Kenneth's Story,2013,83,"Biography,Crime,Documentary",6.8,31,,,,,,,,,
16566,Child of Grace,2014,107,"Drama,Mystery",6.6,241,,,,,,,,,
16567,Fatherland,2015,70,"Adventure,Documentary,Drama",6.7,9,,,,,,,,,
16568,Kust tuleb tolm ja kuhu kaob raha,2013,98,"Action,Comedy,Documentary",7.9,22,,,,,,,,,
16569,Alléluia,2014,93,"Crime,Horror,Romance",6.2,2301,,,,,,,,,
16570,Inferno,2014,113,Drama,6.3,183,,,,,,,,,
16571,Uncle John,2015,113,"Crime,Drama,Mystery",6.2,1530,,,,,,,,,
16572,WWW: Work Weather Wife,2014,151,Romance,8.7,27,,,,,,,,,
16573,Faberge: A Life of Its Own,2014,87,"Documentary,History",8.4,85,,,,,,,,,
16574,The Master Plan,2015,91,"Action,Adventure,Comedy",5.5,1974,,,,,,,,,
16575,Always,2015,99,"Drama,Romance",7.9,253,,,,,,,,,
16576,Agent,2017,80,"Action,Sci-Fi,Thriller",4.6,499,,,,,,,,,
16577,The Japanese Dog,2013,86,Drama,6.8,404,,,,,,,,,
16578,Les châteaux de sable,2015,102,"Comedy,Drama,Romance",6.6,304,,,,,,,,,
16579,Oil & Water,2014,77,"Action,Biography,Documentary",9.3,35,,,,,,,,,
16580,Oil & Water,2014,77,"Action,Biography,Documentary",9.3,35,,,,,,,,,
16581,3 Minutos,2014,75,Documentary,9,23,,,,,,,,,
16582,Bucks from Starbucks,2013,50,Documentary,8.2,52,,,,,,,,,
16583,Glena,2014,85,"Documentary,Drama,Sport",7.4,107,,,,,,,,,
16584,Beatriz: Entre a Dor e o Nada,2015,97,"Drama,Romance",5.1,20,,,,,,,,,
16585,Snow Woman,2016,95,Mystery,7,32,,,,,,,,,
16586,Sex(Ed) the Movie,2014,77,"Documentary,History",6.1,66,,,,,,,,,
16587,Kung Fu Elliot,2014,81,"Biography,Comedy,Documentary",6.4,318,,,,,,,,,
16588,Yalom's Cure,2014,77,"Biography,Documentary",6.8,343,,,,,,,,,
16589,Cowspiracy: The Sustainability Secret,2014,90,Documentary,8.3,17654,,,,,,,,,
16590,Straight Outta Oakland,2014,116,Drama,7.5,102,,,,,,,,,
16591,The Black Fables,2015,93,"Action,Fantasy,Horror",5.7,117,,,,,,,,,
16592,13 Weird Stories,2015,123,"Comedy,Fantasy,Horror",5.9,27,,,,,,,,,
16593,Zurich,2013,103,Drama,7.2,214,,,,,,,,,
16594,The Uprising,2013,78,"Action,Documentary,News",6.7,27,,,,,,,,,
16595,Still the Water,2014,121,"Drama,Romance",6.7,2290,,,,,,,,,
16596,Sweet Bean,2015,113,Drama,7.4,7184,,,,,,,,,
16597,The Domino Effects,2014,76,"Documentary,Drama,Family",6.9,59,,,,,,,,,
16598,The Prince and the Dybbuk,2017,82,"Biography,Documentary",7.2,66,,,,,,,,,
16599,Trophy Kids,2013,107,Documentary,7.1,1573,,,,,,,,,
16600,Destiny,2014,,"Adventure,Comedy,Family",8.4,25,,,,,,,,,
16601,A Journey Into the Holocaust,2014,93,"Documentary,History",7.7,46,,,,,,,,,
16602,End of All Things,2016,85,"Sci-Fi,Thriller",3.9,25,,,,,,,,,
16603,She Lights Up Well,2014,77,"Comedy,Musical",8.1,15,,,,,,,,,
16604,Blood Type,2013,67,"Action,Documentary,Drama",8,33,,,,,,,,,
16605,Our War,2016,68,Documentary,7.4,30,,,,,,,,,
16606,Çapulcu: Voices from Gezi,2013,60,Documentary,6.8,10,,,,,,,,,
16607,Çapulcu: Voices from Gezi,2013,60,Documentary,6.8,10,,,,,,,,,
16608,The Miraculous Tales of Mickey McGuigan,2013,60,Documentary,8.8,11,,,,,,,,,
16609,Miraculous Tales,2014,56,"Comedy,Documentary,Mystery",7.9,7,,,,,,,,,
16610,Las Niñas Quispe,2013,83,Drama,7.4,86,,,,,,,,,
16611,Husband Factor,2015,108,"Comedy,Drama,Fantasy",6.3,3920,,,,,,,,,
16612,My Italian Secret: The Forgotten Heroes,2014,92,"Documentary,History,Sport",7.3,109,,,,,,,,,
16613,Another,2014,80,"Fantasy,Horror,Sci-Fi",2.7,479,,,,,,,,,
16614,Anatomy of a Paperclip,2013,99,"Comedy,Drama",6.1,47,,,,,,,,,
16615,I'll See You in My Dreams,2015,92,"Comedy,Drama,Romance",6.7,6233,,,,,,,,,
16616,The Hero,2017,96,"Drama,Romance",6.5,6796,,,,,,,,,
16617,Hearts Beat Loud,2018,97,"Comedy,Drama,Music",6.9,6543,,,,,,,,,
16618,Energized,2014,92,Documentary,7,41,,,,,,,,,
16619,Anarchy! McLaren Westwood Gang,2013,150,Documentary,5.9,12,,,,,,,,,
16620,The Fourth Partition,2013,75,Documentary,7.2,10,,,,,,,,,
16621,Medusa,2015,109,"Horror,Sci-Fi,Thriller",6.3,92,,,,,,,,,
16622,Never Not Part 2,2013,49,"Action,Documentary,Sport",8.5,8,,,,,,,,,
16623,Angels & Dust,2013,79,"Adventure,Documentary,Drama",6.7,20,,,,,,,,,
16624,Pakistan: Education and Women,2013,47,Documentary,4.8,6,,,,,,,,,
16625,Operation Arctic,2014,87,"Adventure,Family",6.1,694,,,,,,,,,
16626,Man in the Mirror,2015,,"Action,Mystery,Thriller",6.2,73,,,,,,,,,
16627,Back on Board: Greg Louganis,2014,90,"Biography,Documentary,Sport",7.5,351,,,,,,,,,
16628,Being 14,2015,86,Drama,4.9,152,,,,,,,,,
16629,Rent a Family Inc.,2012,80,Documentary,7.2,76,,,,,,,,,
16630,The Blue Wave,2013,97,Drama,5.2,417,,,,,,,,,
16631,Late Spring,2014,102,"Drama,Romance",6.6,38,,,,,,,,,
16632,"Obamas: A story of Love, Faces and Birth Certificate",2015,93,"Comedy,Drama,Romance",6.8,6,,,,,,,,,
16633,Couple Therapy for Cheaters,2017,97,Comedy,5.6,203,,,,,,,,,
16634,Conversations on Serious Topics,2013,65,"Documentary,Drama,Family",7.8,58,,,,,,,,,
16635,Shadow in Baghdad,2013,70,"Documentary,Drama,History",8,5,,,,,,,,,
16636,Almost Friends,2014,76,"Documentary,Family,History",7.8,8,,,,,,,,,
16637,3 days of cinema,2013,97,"Documentary,History,News",9,14,,,,,,,,,
16638,Tree Man,2015,82,"Documentary,Drama,Family",6.4,61,,,,,,,,,
16639,Primates of the Caribbean,2013,52,Documentary,6.7,7,,,,,,,,,
16640,Casablanca Calling,2014,70,"Documentary,News",8.8,5,,,,,,,,,
16641,"Florence, Arizona",2014,78,"Documentary,Western",8.3,6,,,,,,,,,
16642,The Empty Hours,2013,101,"Drama,Romance",6.4,571,,,,,,,,,
16643,Above and Below,2015,118,"Adventure,Documentary,Drama",6.5,353,,,,,,,,,
16644,Saturday Scout Club,2016,109,"Drama,Music,Romance",7.5,6,,,,,,,,,
16645,Soaked in Bleach,2015,90,"Crime,Documentary",7.5,10815,,,,,,,,,
16646,The First Sea,2013,60,"Documentary,War",6.1,13,,,,,,,,,
16647,The Good Son,2012,52,"Documentary,Drama",7.1,44,,,,,,,,,
16648,Beyond Clueless,2014,89,"Documentary,Horror,Romance",6.2,684,,,,,,,,,
16649,White Walls Say Nothing,2017,70,Documentary,6.9,9,,,,,,,,,
16650,Big Stone Gap,2014,103,"Comedy,Romance",5.6,2159,,,,,,,,,
16651,Apostle,2014,70,"Drama,History,War",5.6,16,,,,,,,,,
16652,In the Treetops,2015,78,"Comedy,Drama,Romance",6.8,25,,,,,,,,,
16653,Las Analfabetas,2013,73,Drama,6.6,116,,,,,,,,,
16654,Fish & Cat,2013,134,"Drama,Horror,Mystery",7.4,1927,,,,,,,,,
16655,Paat,2013,77,"Drama,Thriller",6.2,37,,,,,,,,,
16656,Waiting for August,2014,88,"Documentary,Drama,Family",7.2,207,,,,,,,,,
16657,Anabolic Life,2017,89,"Sport,Thriller",5.9,246,,,,,,,,,
16658,Flight from Hell,2014,86,"Action,Horror,Thriller",3.6,204,,,,,,,,,
16659,Battalion,2018,94,Sci-Fi,2.2,483,,,,,,,,,
16660,Sapphire Blue,2014,116,"Drama,Fantasy,Mystery",6.4,2999,,,,,,,,,
16661,Emerald Green,2016,113,Fantasy,6,1677,,,,,,,,,
16662,Without Fear,2017,75,Documentary,7.7,6,,,,,,,,,
16663,Radioactive Wolves,2011,60,Documentary,7,46,,,,,,,,,
16664,Dinosaur Island,2014,82,"Adventure,Family,Sci-Fi",3.5,1475,,,,,,,,,
16665,My Pet Dinosaur,2017,98,"Action,Adventure,Family",4,957,,,,,,,,,
16666,Khrushchev Does America,2013,59,"Documentary,History",7.5,111,,,,,,,,,
16667,Judging Japan,2016,57,Documentary,7.6,18,,,,,,,,,
16668,Loving Vincent,2017,94,"Animation,Biography,Crime",7.8,39737,,,,,,,,,
16669,"Roque Dalton, fusilemos la noche!",2013,87,"Biography,Documentary,History",8.2,12,,,,,,,,,
16670,The Seventh Fire,2015,76,"Documentary,Drama,Family",6.1,145,,,,,,,,,
16671,"Maravilla, a Fighter Inside and Outside the Ring",2014,82,"Biography,Documentary,Sport",7.2,191,,,,,,,,,
16672,The Breach,2014,90,"Documentary,Drama,History",9,65,,,,,,,,,
16673,Across the Sea,2014,105,"Comedy,Drama,Romance",6.3,520,,,,,,,,,
16674,Across the Sea,2014,105,"Comedy,Drama,Romance",6.3,520,,,,,,,,,
16675,The Overnighters,2014,102,"Documentary,Drama",7.5,2217,,,,,,,,,
16676,"Pulp: A Film About Life, Death and Supermarkets",2014,90,"Documentary,Music",7.3,1512,,,,,,,,,
16677,Han Gong-ju,2013,112,Drama,7.3,1648,,,,,,,,,
16678,The Dinner,2013,125,Drama,7.6,5,,,,,,,,,
16679,Blowfly Park,2014,96,"Drama,Thriller",5.4,235,,,,,,,,,
16680,Kvadrat,2013,107,"Biography,Documentary,Music",8.8,94,,,,,,,,,
16681,Golden Gate Girls,2013,90,"Biography,Documentary,History",8.6,14,,,,,,,,,
16682,Powrót Agnieszki H.,2013,70,"Biography,Documentary,History",7.1,25,,,,,,,,,
16683,Die Phosphor-Kriese: Das Ende der Menschheit?,2013,52,Documentary,7.7,10,,,,,,,,,
16684,Die Phosphor-Kriese: Das Ende der Menschheit?,2013,52,Documentary,7.7,10,,,,,,,,,
16685,Somewhere Else Tomorrow,2014,107,"Adventure,Documentary,Drama",7.4,238,,,,,,,,,
16686,A Haunting in Cawdor,2015,100,"Horror,Thriller",3.3,294,,,,,,,,,
16687,Unrest,2017,98,"Documentary,Drama,History",7.8,2159,,,,,,,,,
16688,Normalization,2013,99,"Crime,Documentary,Drama",7.1,42,,,,,,,,,
16689,Steam on the River,2015,90,Documentary,7.1,14,,,,,,,,,
16690,Requiem for the American Dream,2015,73,"Biography,Documentary,News",8.1,7848,,,,,,,,,
16691,Requiem for the American Dream,2015,73,"Biography,Documentary,News",8.1,7848,,,,,,,,,
16692,Outcast Forever,2016,84,"Biography,Crime,Documentary",9.1,25,,,,,,,,,
16693,Carpe Diem: European Escapade,2015,95,"Adventure,Comedy,Drama",6.2,21,,,,,,,,,
16694,Blood and Ties,2013,95,"Drama,Thriller",6.4,966,,,,,,,,,
16695,Apt 3D,2014,79,"Sci-Fi,Thriller",4.6,11,,,,,,,,,
16696,Crossroads: Labor Pains of a New Worldview,2013,64,"Documentary,History,News",8.3,38,,,,,,,,,
16697,La cárcel del fin del Mundo,2013,66,Documentary,8.4,7,,,,,,,,,
16698,The Three Musketeers,2013,112,Adventure,3.7,213,,,,,,,,,
16699,The Coal Miner's Day,2013,79,"Documentary,Drama,History",8.2,9,,,,,,,,,
16700,A Separate Wind,2014,99,"Action,Adventure,Drama",6.1,41,,,,,,,,,
16701,The Devil Complex,2016,79,"Horror,Thriller",3.4,500,,,,,,,,,
16702,My Name Is Salt,2013,92,Documentary,7.3,104,,,,,,,,,
16703,American Dreamers,2015,88,"Documentary,Drama",7,8,,,,,,,,,
16704,Donovan,2017,100,Drama,9.2,86,,,,,,,,,
16705,The Triangle,2016,94,"Horror,Mystery",4.9,590,,,,,,,,,
16706,Ghost Town to Havana,2015,86,"Documentary,Sport",9,6,,,,,,,,,
16707,Os últimos cangaceiros,2011,79,"Biography,Documentary,History",6.8,17,,,,,,,,,
16708,The Atticus Institute,2015,83,Horror,5.5,7700,,,,,,,,,
16709,Rohmer in Paris,2013,67,"Biography,Documentary,History",7.2,32,,,,,,,,,
16710,Do You Believe in Love?,2013,50,"Documentary,Romance",7.2,13,,,,,,,,,
16711,In Extase,2013,65,Documentary,7,52,,,,,,,,,
16712,The Outlaw League,2014,,Family,6.3,47,,,,,,,,,
16713,Diani & Devine Meet the Apocalypse,2016,90,"Adventure,Comedy",8.8,88,,,,,,,,,
16714,Diani & Devine Meet the Apocalypse,2016,90,"Adventure,Comedy",8.8,88,,,,,,,,,
16715,What We Have,2014,89,Drama,5.7,134,,,,,,,,,
16716,Pinch,2015,81,"Crime,Drama",6.5,15,,,,,,,,,
16717,Giants and the Morning After,2018,88,Documentary,7.3,38,,,,,,,,,
16718,Giants and the Morning After,2018,88,Documentary,7.3,38,,,,,,,,,
16719,Gambling on Extinction,2015,52,Documentary,7.8,13,,,,,,,,,
16720,The Voice of Sokurov,2014,77,"Biography,Documentary",6.8,28,,,,,,,,,
16721,Arabian Nights: Volume 1 - The Restless One,2015,125,Drama,7,1815,,,,,,,,,
16722,Arabian Nights: Volume 2 - The Desolate One,2015,131,Drama,7.2,1172,,,,,,,,,
16723,Arabian Nights: Volume 3 - The Enchanted One,2015,125,Drama,6.5,928,,,,,,,,,
16724,Wagner's Jews,2013,,Documentary,7,13,,,,,,,,,
16725,The Blackcoat's Daughter,2015,93,"Horror,Thriller",5.9,13260,,,,,,,,,
16726,I Am the Pretty Thing That Lives in the House,2016,89,"Horror,Mystery,Thriller",4.6,9756,,,,,,,,,
16727,The Great Alone,2015,80,"Adventure,Documentary,Drama",7.4,342,,,,,,,,,
16728,Homo Ciris,2013,22,"Documentary,Sci-Fi",6.3,7,,,,,,,,,
16729,All My Children,2013,90,Documentary,7,21,,,,,,,,,
16730,The Great Night,2013,72,"Documentary,Drama",6.2,26,,,,,,,,,
16731,Eugéniové,2013,76,"Biography,Documentary",6.7,15,,,,,,,,,
16732,Jenny's Wedding,2015,94,"Comedy,Drama,Romance",5.5,9379,,,,,,,,,
16733,The Chambermaid Lynn,2014,90,Drama,6,477,,,,,,,,,
16734,Just Jim,2015,84,"Comedy,Drama,Thriller",5.8,1476,,,,,,,,,
16735,Living for the Weekend,2013,,Documentary,9.1,8,,,,,,,,,
16736,X Moor,2014,76,Horror,4,579,,,,,,,,,
16737,Le casse des casses,2014,78,Comedy,7.8,20,,,,,,,,,
16738,Huicholes: The Last Peyote Guardians,2014,125,"Adventure,Documentary,Drama",7.8,40,,,,,,,,,
16739,While the Wolf's Away,2017,123,"Drama,Mystery,Thriller",7.6,1707,,,,,,,,,
16740,The Covenant,2013,99,Musical,6.2,5,,,,,,,,,
16741,A Heavy Heart,2015,109,Drama,7,462,,,,,,,,,
16742,In the Aisles,2018,125,Drama,7,2593,,,,,,,,,
16743,The Basque Swastika,2013,80,"Documentary,History",6.8,20,,,,,,,,,
16744,The Babushkas of Chernobyl,2015,70,Documentary,8,420,,,,,,,,,
16745,Paternity Leave,2015,90,"Comedy,Drama,Romance",6.5,1275,,,,,,,,,
16746,Uporno Dozivanje Andjela,2013,240,"Biography,Documentary,Music",8.5,11,,,,,,,,,
16747,Chronicle of a Forgotten Death,2012,62,Documentary,8.4,9,,,,,,,,,
16748,Cowspiracy: The Sustainability Secret,2014,90,Documentary,8.3,17654,,,,,,,,,
16749,What the Health,2017,97,Documentary,7.7,23134,,,,,,,,,
16750,Bleeding Steel,2017,109,"Action,Sci-Fi,Thriller",5.2,6346,,,,,,,,,
16751,Shaadi Ke Side Effects,2014,145,"Comedy,Romance",5.6,3566,,,,,,,,,
16752,From What Is Before,2014,338,Drama,7.8,459,,,,,,,,,
16753,The Woman Who Left,2016,226,Drama,7.4,966,,,,,,,,,
16754,Season of the Devil,2018,234,Musical,7.2,174,,,,,,,,,
16755,Sea Fog,2014,111,"Drama,Thriller",6.9,2405,,,,,,,,,
16756,Let's Go to The Rat,2013,80,"Documentary,History,Music",6,5,,,,,,,,,
16757,Hidden Assets,2015,106,"Crime,Drama,Thriller",7.9,29,,,,,,,,,
16758,Come Simi,2015,82,"Comedy,Drama",6.1,35,,,,,,,,,
16759,Kaunri Kanya - 3D,2013,,Horror,5.9,7,,,,,,,,,
16760,Celestial Hunt,2013,96,"Action,Drama,Thriller",7.8,8,,,,,,,,,
16761,The Abandoned,2015,86,"Horror,Mystery,Thriller",5,3924,,,,,,,,,
16762,The Other Dreamers,2013,47,"Biography,Documentary,Drama",9.4,15,,,,,,,,,
16763,It Happens,2013,66,"Comedy,Drama",8,31,,,,,,,,,
16764,Shunte Ki Pao!,2012,90,Documentary,8.6,48,,,,,,,,,
16765,Cantábrico,2017,101,Documentary,7.4,188,,,,,,,,,
